Company,Funding Round,Amount,Date,RupeesAmount,dollarAmt
Ugees,Pre-Seed,—,"Dec 21, 2023",0,0
Woovly Shop Socially,Venture - Series Unknown,—,"Nov 27, 2023",0,0
Fibmold Packaging,Venture - Series Unknown,"₹830,000,000","Nov 2, 2023",830000000,9960000
3EV Industries,Series A,"₹960,000,000","Feb 12, 2024",960000000,11520000
Vivifi India,Series B,"$15,000,000","Jan 24, 2024",1125000000,13500000
PatilKaki,Seed,—,"Nov 29, 2023",0,0
Aakash Educational Services,Funding Round,"₹24,950,000,000","Jan 25, 2024",24950000000,299400000
Beyond Odds,Venture - Series Unknown,"₹910,000,000","Dec 19, 2023",910000000,10920000
Supplynote,Series A,"$2,250,000","Jul 12, 2023",168750000,2025000
Ergos,Series B,"$7,000,000","Sep 22, 2023",525000000,6300000
Proost69,Debt Financing,—,"Oct 25, 2023",0,0
Vegapay,Pre-Seed,"₹91,500,000","Aug 16, 2023",91500000,1098000
BlackLight Studio Works,Seed,—,"Nov 3, 2023",0,0
Finayo,Venture - Series Unknown,"₹160,000,000","Dec 18, 2023",160000000,1920000
Ethereal Machines,Series A,"₹598,000,000","Jul 24, 2023",598000000,7176000
Game Theory,Seed,"₹166,000,000","Oct 16, 2023",166000000,1992000
Hogr,Seed,"₹100,000,000","Dec 18, 2023",100000000,1200000
Done Deal,Pre-Seed,"$800,000","Oct 17, 2023",60000000,720000
Blitz,Seed,"$3,000,000","Jul 19, 2023",225000000,2700000
Wiom,Series A,"₹1,400,000,000","Jul 27, 2023",1400000000,16800000
Voiceowl,Non-equity Assistance,—,"Feb 16, 2024",0,0
altM,Seed,"$3,500,000","Sep 7, 2023",262500000,3150000
Proxgy,Seed,"₹160,000,000","Oct 12, 2023",160000000,1920000
Shyam Metalics and Energy,Post-IPO Equity,"₹13,850,000,000","Jan 9, 2024",13850000000,166200000
Evify,Seed,"$100,000","Jul 7, 2022",7500000,90000
Pepperfry,Private Equity,"$23,000,000","Sep 5, 2023",1725000000,20700000
Nat Habit,Series B,"$10,200,000","Dec 12, 2023",765000000,9180000
Settlin,Seed,—,"Nov 15, 2023",0,0
Manastu Space,Seed,"₹250,000,000","Sep 5, 2023",250000000,3000000
Amaha (formerly InnerHour),Series A,"₹500,000,000","Jan 9, 2024",500000000,6000000
Navadhan Capital,Seed,"₹417,000,000","Dec 6, 2023",417000000,5004000
FruBon,Series A,—,"Feb 13, 2024",0,0
Prabhu Bhakti,Seed,—,"Jan 5, 2024",0,0
Meesho,Secondary Market,"$52,500,000","Oct 13, 2023",3937500000,47250000
Maidaan,Pre-Seed,—,"Jan 4, 2024",0,0
VECROS,Pre-Seed,"$250,000","Feb 5, 2024",18750000,225000
Country Delight,Series E,"₹1,644,000,000","Jan 5, 2024",1644000000,19728000
Pandorum Technologies,Series B,"₹880,000,000","Mar 19, 2024",880000000,10560000
Larkai Healthcare,Seed,"₹41,600,000","Jan 3, 2024",41600000,499200
Freight Tiger,Corporate Round,"₹1,500,000,000","Oct 19, 2023",1500000000,18000000
Jimmy's Cocktails,Seed,"₹122,000,000","Dec 1, 2023",122000000,1464000
Mufin Green Finance,Post-IPO Debt,"₹5,300,000,000","Feb 15, 2023",5300000000,63600000
Bolt.Earth,Series B,"$20,000,000","Oct 5, 2023",1500000000,18000000
VerSe Innovation,Debt Financing,"₹500,000,000","Feb 7, 2024",500000000,6000000
Ola Electric,Private Equity,"$140,000,000","Sep 7, 2023",10500000000,126000000
ControlZ,Seed,"₹249,000,000","Feb 7, 2024",249000000,2988000
Offside,Pre-Seed,"₹12,500,000","Oct 28, 2023",12500000,150000
KathaVersse Media Network,Seed,"$400,000","Sep 21, 2023",30000000,360000
Wootz.work,Seed,"₹290,000,000","Aug 22, 2023",290000000,3480000
GrowXCD Finance,Series A,"₹300,000,000","Nov 27, 2023",300000000,3600000
Vidyut,Debt Financing,—,"Feb 20, 2024",0,0
Ayekart Fintech,Series A,"₹530,000,000","Feb 15, 2024",530000000,6360000
Metalbook,Series A,"₹1,250,000,000","Feb 15, 2024",1250000000,15000000
Push Sports,Seed,"₹8,000,000","Feb 19, 2024",8000000,96000
OTO Capital,Venture - Series Unknown,"₹830,000,000","Feb 6, 2024",830000000,9960000
Chefling,Angel,"₹4,000,000","Feb 20, 2024",4000000,48000
SpiceJet Limited,Post-IPO Equity,"₹7,440,000,000","Jan 25, 2024",7440000000,89280000
NEPRA Resource Management,Secondary Market,—,"Feb 22, 2024",0,0
RailYatri,Series C,"₹245,800,000","Feb 19, 2024",245800000,2949600
Noccarc,Seed,"₹166,000,000","Feb 13, 2024",166000000,1992000
Alt Mobility,Series A,"₹500,000,000","Jan 18, 2024",500000000,6000000
PocketATM,Pre-Seed,"$400,000","Feb 13, 2024",30000000,360000
Oopar.Club,Pre-Seed,"₹5,000,000","Feb 21, 2024",5000000,60000
Induced AI,Seed,"$2,300,000","Oct 3, 2023",172500000,2070000
Beyoung,Venture - Series Unknown,—,"Feb 19, 2024",0,0
Segwise,Pre-Seed,"₹133,000,000","Feb 14, 2024",133000000,1596000
Khyaal,Seed,"$4,200,000","Feb 6, 2024",315000000,3780000
FOIP,Funding Round,"₹230,000,000","Feb 23, 2024",230000000,2760000
Neodocs,Seed,"₹166,000,000","Feb 8, 2024",166000000,1992000
mirrAR,Seed,"₹130,000,000","Nov 6, 2023",130000000,1560000
Wildfloc Adventures,Seed,—,"Feb 22, 2024",0,0
Digantara,Series A,"₹155,400,000","Feb 27, 2024",155400000,1864800
Fasal,Series A,"₹1,000,000,000","Dec 22, 2023",1000000000,12000000
Zomato,Post-IPO Secondary,"₹33,360,000,000","Nov 28, 2023",33360000000,400320000
Myna Mahila Foundation,Grant,"$100,000","Jul 9, 2023",7500000,90000
Pratech Brands,Seed,"₹366,200,000","Feb 19, 2024",366200000,4394400
Grip Invest,Series B,"₹700,000,000","Jan 9, 2024",700000000,8400000
AmberStudent,Debt Financing,"$2,500,000","Feb 12, 2024",187500000,2250000
Stan,Seed,"₹220,000,000","Jan 23, 2024",220000000,2640000
Crux,Seed,"₹220,000,000","Feb 8, 2024",220000000,2640000
HyugaLife,Seed,"₹83,000,000","Jan 3, 2024",83000000,996000
Scandalous Foods,Pre-Seed,"₹14,000,000","Feb 14, 2024",14000000,168000
RailYatri,Debt Financing,"₹140,000,000","Feb 19, 2024",140000000,1680000
JSW Infrastructure,Funding Round,"₹12,600,000,000","Sep 22, 2023",12600000000,151200000
Krutrim,Series A,"$50,000,000","Jan 26, 2024",3750000000,45000000
Kushal's,Secondary Market,—,"Feb 28, 2024",0,0
Kushal's,Series B,"₹2,840,000,000","Feb 28, 2024",2840000000,34080000
BigHaat,Series C,"₹695,000,000","Feb 7, 2024",695000000,8340000
Settl.,Seed,"₹100,000,000","Jan 2, 2024",100000000,1200000
Toffee Coffee Roasters,Funding Round,"₹3,500,000","Feb 20, 2024",3500000,42000
Burger Singh,Series B,—,"Dec 14, 2023",0,0
Airblack,Series B,"₹330,000,000","Dec 7, 2023",330000000,3960000
Confidence Group,Post-IPO Equity,"₹2,500,000,000","Feb 19, 2024",2500000000,30000000
Mokobara,Series A,"₹290,000,000","Oct 19, 2023",290000000,3480000
SWIRL,Seed,"₹91,000,000","Feb 6, 2024",91000000,1092000
Dream Sports,Secondary Market,"$400,000,000","Mar 24, 2021",30000000000,360000000
VRO Hospitality,Venture - Series Unknown,"$10,000,000","Jan 2, 2024",750000000,9000000
